year,country_iso,country_code,reported_classification_imports,reported_classification_exports,reported_currency_imports,reported_currency_exports,trade_flow_imports,trade_flow_exports,currency_conversion_factor_imports,currency_conversion_factor_exports,trade_system_imports,trade_system_exports,valuation_imports,valuation_exports,partner_imports,partner_exports
1979,ner,562,sitc rev.2,sitc rev.2,xof,xof,imports,exports,0.470849,0.47041,special,special,cif,fob,origin,last known destination
1979,nga,566,sitc rev.1,sitc rev.1,ngn,ngn,imports,exports,1.66283,1.66742,general,general,cif,fob,origin,last known destination
1979,nor,579,sitc rev.2,sitc rev.2,nok,nok,imports,exports,0.19769,0.19768,general,general,cif,fob,origin,last known destination
1979,omn,512,sitc rev.1,sitc rev.1,omr,omr,imports,exports,2.89519,2.89519,general,general,cif,fob,origin,last known destination
1979,pak,586,sitc rev.1,sitc rev.1,pkr,pkr,imports,exports,0.10101,0.10101,general,general,cif,fob,origin,consignment
1979,pan,591,sitc rev.1,sitc rev.1,pab,pab,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1979,pry,600,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,consignment,last known destination
1979,per,604,sitc rev.2,sitc rev.2,usd,usd,imports,exports,1,1,special,special,fob,fob,origin,last known destination
1979,phl,608,sitc rev.2,sitc rev.2,usd,usd,imports,exports,1,1,general,general,cif,fob,origin,last known destination
1979,prt,620,sitc rev.2,sitc rev.2,pte,pte,imports,exports,0.20338,0.1967,special,special,cif,fob,origin,last known destination
1979,qat,634,sitc rev.1,sitc rev.1,qar,qar,imports,exports,0.26492,0.26577,general,general,fob,fob,origin,last known destination
1979,kor,410,sitc rev.2,sitc rev.2,usd,usd,imports,exports,1,1,special,general,cif,fob,origin,last known destination
1979,reu,638,sitc rev.2,sitc rev.2,frf,frf,imports,exports,0.23557,0.23553,special,special,cif,fob,origin,last known destination
1979,kna,658,sitc rev.1,sitc rev.1,xcd,xcd,imports,exports,0.37037,0.37037,special,general,cif,fob,origin,last known destination
1979,lca,662,sitc rev.1,sitc rev.1,xcd,xcd,imports,exports,0.37037,0.37037,general,general,cif,fob,origin,last known destination
1979,spm,666,sitc rev.2,sitc rev.2,frf,frf,imports,exports,0.235355,0.23529,special,special,cif,fob,origin,last known destination
1979,wsm,882,sitc rev.2,sitc rev.2,wst,wst,imports,exports,1.19004,1.17478,general,general,cif,fob,origin,last known destination
1979,sau,682,sitc rev.2,sitc rev.2,sar,sar,imports,exports,0.297508,0.29752,general,general,cif,fob,consignment,consignment
1979,sen,686,sitc rev.2,sitc rev.2,xof,xof,imports,exports,0.470416,0.470416,special,special,cif,fob,origin,last known destination
1979,syc,690,sitc rev.1,sitc rev.1,scr,scr,imports,exports,0.159116,0.159116,special,domestic,cif,fob,origin,last known destination
1979,sgp,702,sitc rev.2,sitc rev.2,sgd,sgd,imports,exports,0.460109,0.46002,general,general,cif,fob,origin,last known destination
1979,zaf,711,sitc rev.2,sitc rev.2,zar,zar,imports,exports,1.18869,1.18914,general,general,cif,fob,origin,last known destination
1979,slb,90,sitc rev.1,sitc rev.1,aud,aud,imports,exports,1.11685,1.11603,special,special,cif,fob,origin,last known destination
1979,som,706,sitc rev.1,sitc rev.1,sos,sos,imports,exports,0.158856,0.158856,general,general,cif,fob,origin,last known destination
1979,esp,724,sitc rev.2,sitc rev.2,esp,esp,imports,exports,0.14925,0.149,special,special,cif,fob,origin,last known destination
